cod;nome;período;valor
50;MS;2022;127
35;SP;2022;46
17;TO;2022;54
16;AP;2022;153
43;RS;2022;27
13;AM;2022;34
25;PB;2022;74
12;AC;2022;34
31;MG;2022;109
21;MA;2022;116
24;RN;2022;65
11;RO;2022;284
26;PE;2022;318
29;BA;2022;227
53;DF;2022;83
33;RJ;2022;204
14;RR;2022;53
23;CE;2022;206
